latitude,longitude,time_received,vehicle_id,distance_along_trip,inferred_direction_id,inferred_phase,inferred_route_id,inferred_trip_id,next_scheduled_stop_distance,next_scheduled_stop_id
40.760424,-73.826838,2014/8/1 4:00,6062,118.5985031,0,IN_PROGRESS,MTA NYCT_Q28,MTA NYCT_CS_C4-Weekday-143500_MISC_806,276.7298406,MTA_904189
40.855132,-73.933381,2014/8/1 4:00,6247,7611.481116,0,IN_PROGRESS,MTA NYCT_M100,MTA NYCT_KB_C4-Weekday-137500_M100_339,54.49229389,MTA_402542
40.804546,-73.955608,2014/8/1 4:00,6752,9415.655552,0,IN_PROGRESS,MTA NYCT_M7,MTA NYCT_MV_C4-Weekday-139000_M10_823,49.28340726,MTA_401044
40.642958,-74.074643,2014/8/1 4:00,7040,114.2460873,1,IN_PROGRESS,MTA NYCT_S66,MTA NYCT_CA_C4-Weekday-144000_MISC_515,195.6763456,MTA_200176
40.629325,-74.02878,2014/8/1 4:00,7568,7690.488825,1,IN_PROGRESS,MTA NYCT_B37,MTA NYCT_JG_C4-Weekday-142000_B35_64,147.8538536,MTA_308267
40.761555,-73.86747,2014/8/1 4:00,8939,4113.612583,0,IN_PROGRESS,MTABC_Q49,MTABC_6585388-LGPC4-LG_C4-Weekday-77,4.600184675,MTA_550640
40.681338,-73.871543,2014/8/1 4:00,9389,7477.088004,1,IN_PROGRESS,MTA NYCT_B13,MTA NYCT_GA_C4-Weekday-141000_Q59_921,137.3262695,MTA_301499
40.596993,-73.973203,2014/8/1 4:00,9644,6327.42976,1,IN_PROGRESS,MTA NYCT_B3,MTA NYCT_UP_C4-Weekday-SDon-141000_B3_133,146.0842871,MTA_300274
40.892346,-73.854262,2014/8/1 4:00,309,1897.958115,1,IN_PROGRESS,MTA NYCT_BX31,MTA NYCT_WF_C4-Weekday-143000_BX31_122,3.932098277,MTA_102072
40.693088,-74.000612,2014/8/1 4:00,442,11928.33511,0,LAYOVER_DURING,MTA NYCT_B63,MTA NYCT_JG_C4-Weekday-138000_B63_125,2.942663339,MTA_308616
40.682041,-73.943683,2014/8/1 4:00,476,6860.318307,1,IN_PROGRESS,MTA NYCT_B43,MTA NYCT_JG_C4-Weekday-141000_B16_15,222.5884583,MTA_303774
40.759034,-73.978811,2014/8/1 4:00,2444,1314.030866,1,IN_PROGRESS,MTA NYCT_X1,MTA NYCT_YU_C4-Weekday-142600_MISC_176,349.5799531,MTA_404873
40.684021,-73.84627,2014/8/1 4:00,3172,19810.0604,0,IN_PROGRESS,MTABC_QM15,MTABC_6524794-FRPC4-FR_C4-Weekday-12-SDon,0,MTA_553160
40.887432,-73.860596,2014/8/1 4:00,3305,22783.43935,0,IN_PROGRESS,MTABC_BXM11,MTABC_6538422-YOPC4-YO_C4-Weekday-30,34.06393975,MTA_102762
40.729044,-73.8268,2014/8/1 4:00,3514,2186.026798,0,IN_PROGRESS,MTABC_Q64,MTABC_6548182-BPPC4-BP_C4-Weekday-05,161.5935601,MTA_551822
40.590881,-74.158459,2014/8/1 4:00,4017,3980.470474,0,IN_PROGRESS,MTA NYCT_S61,MTA NYCT_YU_C4-Weekday-139500_MISC_180,202.0803759,MTA_202697
40.900154,-73.839689,2014/8/1 4:00,4415,4303.571399,1,IN_PROGRESS,MTA NYCT_BX16,MTA NYCT_GH_C4-Weekday-142500_BX16_20,295.801365,MTA_104256
40.765709,-73.918639,2014/8/1 4:00,4483,7124.27942,1,IN_PROGRESS,MTABC_Q18,MTABC_6584806-LGPC4-LG_C4-Weekday-77,42.11963231,MTA_550602
40.689626,-73.972662,2014/8/1 4:00,4518,6804.435572,1,IN_PROGRESS,MTA NYCT_B38,MTA NYCT_FP_C4-Weekday-141100_B38_130,241.1060935,MTA_301933
40.679831,-73.773807,2014/8/1 4:00,4673,4588.006829,0,IN_PROGRESS,MTA NYCT_Q85,MTA NYCT_JA_C4-Weekday-141800_MISC_540,73.09181738,MTA_500637
40.614537,-73.928137,2014/8/1 4:00,5136,11179.0185,1,IN_PROGRESS,MTA NYCT_B41,MTA NYCT_FB_C4-Weekday-SDon-137700_B46_207,216.7171672,MTA_303341
40.701563,-74.012056,2014/8/1 4:00,5561,13865.92556,1,LAYOVER_DURING,MTA NYCT_M15,MTA NYCT_OS_C4-Weekday-135800_M15_44,15.13779979,MTA_803070
40.857292,-73.868428,2014/8/1 4:00,5801,7675.577679,1,IN_PROGRESS,MTA NYCT_BX12,MTA NYCT_GH_C4-Weekday-141500_BX29_508,1118.342688,MTA_100843
40.804348,-73.955242,2014/8/1 4:00,6408,2971.117145,1,IN_PROGRESS,MTA NYCT_M7,MTA NYCT_MV_C4-Weekday-142000_M116_908,0,MTA_401079
40.691775,-73.74398,2014/8/1 4:00,6458,14904.18448,1,IN_PROGRESS,MTA NYCT_Q27,MTA NYCT_QV_C4-Weekday-138000_Q27_15,250.9139568,MTA_500492
40.701948,-73.881116,2014/8/1 4:00,6499,2564.83456,0,IN_PROGRESS,MTA NYCT_Q55,MTA NYCT_FP_C4-Weekday-142700_B54_223,0,MTA_504334
40.663383,-73.893781,2014/8/1 4:00,6525,7061.047032,1,IN_PROGRESS,MTA NYCT_B20,MTA NYCT_FP_C4-Weekday-141000_B38_129,0,MTA_302035
40.583687,-73.95061,2014/8/1 4:00,7600,3151.16271,1,IN_PROGRESS,MTA NYCT_B4,MTA NYCT_JG_C4-Weekday-142600_B4_22,9.241531533,MTA_300366
40.817415,-73.948015,2014/8/1 4:00,7631,0,0,LAYOVER_DURING,MTA NYCT_BX33,MTA NYCT_WF_C4-Weekday-144000_BX33_110,0,MTA_403717
40.849712,-73.934558,2014/8/1 4:00,7661,11509.9335,1,IN_PROGRESS,MTA NYCT_BX36,MTA NYCT_WF_C4-Weekday-136100_BX36_158,54.2057878,MTA_404324
40.822022,-73.911788,2014/8/1 4:00,7704,2000.68487,0,IN_PROGRESS,MTA NYCT_BX21,MTA NYCT_WF_C4-Weekday-143000_BX21_36,210.625163,MTA_103919
40.826207,-73.920606,2014/8/1 4:00,7724,3685.603184,0,IN_PROGRESS,MTA NYCT_BX6,MTA NYCT_WF_C4-Weekday-140800_BX6_49,234.9486705,MTA_100366
40.707602,-73.795521,2014/8/1 4:00,9364,6781.024473,1,LAYOVER_DURING,MTA NYCT_Q2,MTA NYCT_QV_C4-Weekday-140500_MISC_296,3.531492788,MTA_501318
